106 сд,
126 отд. тб,
133 иап КрымФ,
15 гв. сп 2 гв. сд,
153 упр. воен. полев. стр. впс 51 А,
157 сд,
174 эр,
21 гв. ап 2 гв. сд,
24 тп,
276 сд,
282 сд 876 сп,
39 тбр,
404 сд,
404 сд 460 мото-развед. рота,
422 ап 157 сд,
44 А 427 олбс,
460 отд. развед. мп,
467 кап,
47 ср охраны 47 А,
51 А,
51 А 659 олбс,
55 мспб 55 тбр,
633 сп,
643 сп 404 сд,
655 сп,
655 сп 404 сд,
655 сп 404 сд крымф,
865 сд,
873 сп,
876 сп 276 сд,
961 ап,
КрымФ 133 иап,
КрымФ 475 бао,
СКФ,
СКФ 105 сп 77 сд,
СКФ 13 отд. броне. рота,
СКФ 157 сд,
СКФ 157 сд 422 ап,
СКФ 18 гв. минп,
СКФ 199 отд. бат. связи 157 сд,
СКФ 2 рота 427 олбс,
СКФ 3 рота 427 олбс,
СКФ 31 озад,
СКФ 343 пулеметн. бат. 151 УР,
СКФ 351 озад,
СКФ 384 сп 157 сд,
СКФ 398 сд,
СКФ 422 ап 157 сд,
СКФ 633 сп 157 сд,
СКФ 643 сп 404 сд,
СКФ 652 сп 404 сд,
СКФ 655 сп 404 сд,
СКФ 665 сп 404 сд,
СКФ 679 осб 404 сд,
СКФ 716 сп 157 сд,
СКФ 73 отд. мото. мех. полк,
СКФ 739 отср,
СКФ 77 гсд,
СКФ 77 гсд 105 гсп,
СКФ 77 гсд 105 п,
СКФ 77 гсд 105 сп,
СКФ 77 сд,
СКФ 79 пс,
СКФ 821 сп 398 сд,
СКФ 824 сп 398 сд,
СКФ 826 сп 398 сд,
СКФ 865 сп,
СКФ 958 ап 398 сд,
в/ч 15 ппс 492,
отд 76 мм ад,
отд. сан. б-н 157 сд,
п/п 492 в/ч 15,
пп 492 в/ч 15,
ппс 492 в/ч 15,
рыбинско-ярославский див. р-н ПВО,
скф 205 осб 398 сд,
скф 231 оптд,
скф 276 сд 44 А,
скф 28 оптд 236 сд,
скф 392 мед.-сан. бат.,
скф 398 сд,
скф 398 сд 821 сп,
скф 398 сд 824 сп,
скф 398 сд 826 сп,
скф 398 сд 846 обс,
скф 404 отд. сап. бат. 236 сд,
скф 404 сд 44 А,
скф 47 А,
скф 47 А 47 оро,
скф 47 А 97 пункт сбора аварийн. машин,
скф 47 арм. опо,
скф 47 арм. полит. отд.,
скф 509 п 236 сд,
скф 509 сп 236 сд,
скф 510 автомоб. рота 398 сд,
скф 547 гап РГК,
скф 61 дорма,
скф 763 отср 398 сд,
скф 8 отд 77 гсд,
скф 814 сп 236 сд,
скф 826 полк 398 див.,
скф 826 сп 398 див.,
скф 827 сп 302 сд,
скф 865 сд 47 А,
скф 871 сп 276 сд 44 А,
скф обс,
штаб 55 тбр,

